respondent,state,district,newzip,sfaid,f2s,aware2012,startserv,starttaste,startuse,startgrdn,startsrvg,startgrdntst,starttrip,startvisit,starttheme,startprom,startmedia,starthost,startceleb,startinteg,startothrspec,localdef2012,localdefothr2012,regdef2012,othrrest2012,awarefuture,planserv,plantaste,planuse,plangrdn,plansrvg,plangrdntst,plantrip,planvisit,plantheme,planprom,planmedia,planhost,planceleb,planinteg,planothrspec,whenstart,awarenoplan,probseasf2sno,probavailf2sno,probrangef2sno,probhighf2sno,probunstablef2sno,probreliabf2sno,probcomplf2sno,probprocf2sno,probsupplierf2sno,probinfof2sno,proborderf2sno,probtimef2sno,probqualf2sno,probdelivf2sno,probresolvf2sno,probpayf2sno,probothrf2sno,awaref2sdk,serv,taste,coach,grdn,srvg,demo,trip,visit,theme,prom,media,host,celeb,integ,othr2011spec,ageprek,agek5,age68,age912,ageothr1,schoolnum,schoolnumwithmulti,gardennum,gardennumwithmulti,localdef2011,locdefothr2011,regiondef2011,othrrest2011,aware2011,usegeoprf,usedbreak,usedlunch,usedsup,usedsnack,usedffvp,usedsumr,directprod,directcoop,directfmkt,directcsa,directmanu,interdist,intercoop,interfsmc,interdod,interusda,interstate,interothr,fruit,veg,milk,dairy,meat,eggs,seafd,vegprot,grain,baked,herb,othr,specothrpurch,catlist,catwantlist,top1,top2,top3,top4,top5,top5list,fruitfreq,vegfreq,milkfreq,dairyfreq,meatfreq,eggsfreq,seafdfreq,vegprotfreq,grainfreq,bakedfreq,herbfreq,othrfreq,specothrfreq,newcost,newcostwithmulti,newshincl,pctsummarypage,pctdetailpage,newshinclwithmulti,newshexcl,newshexclwithmulti,dolinclmilk,dolexclmilk,future,futureothr,probseas2011,probavail2011,probrange2011,probhigh2011,probunstable2011,probreliab2011,probcompl2011,probproc2011,probsupplier2011,probinfo2011,proborder2011,probtime2011,probqual2011,probdeliv2011,probresolv2011,probpay2011,probothr12011,othrinfo,success,success2,mast_fax_late,multidistresp,corrflag,phase2,leaid,CONUM,CDCODE,LATCOD,LONCOD,TYPE,BIEA,students,allschools,totexpfs,salaryfs,benefitsfs,nonlaborexp,salesfs,fedmoney,TOTALEXP,ULOCAL,pctfarm,AM,ASIAN,HISP,BLACK,WHITE,PACIFIC,TR
2610343053.0,CA,ABC UNIFIED,90703.0, ,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,., , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,1,1,1, ,.,.,.,.,3, , , ,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0, ,1,2,2,2,2,2,2,2,2,2,2,2, ,Fruit, , , , , , , ,1,7,7,7,7,7,7,7,7,7,7,7, ,70000,70000,., , ,.,.,.,.,.,4, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,.,lat, ,0.0,.,601620.0,6037,638,33.88037,-118.072651,1,0,17170,23,5883000,2195000,798000,2890000,2292000,4376000,187882000,13,0.18888,57,7567,8901,1961,1533,162,507
10423.0,CA,ADELANTO ELEMENTARY,92301.0,3667587,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,., , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,1,1,1,0,0,0,1,0,1,1,1,0,0,0, ,1,1,1,0,0,.,.,0,0,6, , , ,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,.,1,1,., ,"Fruit, Vegetables, Milk, Dairy products, Meat/Poultry, Eggs, Seafood, Beans/Seeds/Nuts, Baked goods, Herbs", ,Milk,Apples,Oranges,Tomatoes,Romaine,"Milk, Apples, Oranges, Tomatoes, Romaine",1,1,1,2,2,2,6,2,1,1,5,., ,2135518,2135518,30,30,30 %,30,15,15,640655.4,320327.7,1, ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,"If We Get Pricing For Farm To School, That Does Impact The Bid Awaited Produce", , ,fax, ,0.0,.,601710.0,6071,608,34.572059,-117.406616,1,0,3638,5,3080000,1192000,371000,1517000,274000,3449000,72654000,41,0.20808,47,169,5333,2127,1049,66,326
2928234632.0,CA,ALAMEDA CITY UNIFIED,94501.0, ,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,., , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,1,0,0, ,.,.,.,.,1, , , ,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,1,1,1,1,1,1,1,1,1,1,., ,"Fruit, Vegetables, Milk, Dairy products, Meat/Poultry, Eggs, Seafood, Beans/Seeds/Nuts, Grain/Flour, Baked goods, Herbs", , , , , , , ,0,0,0,0,0,0,0,0,.,0,0,., ,.,.,.,No response was provided.,No response was provided.,.,.,.,.,.,., ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,0.0,1,601770.0,6001,613,37.771601,-122.283696,1,0,4653,8,1470000,769000,225000,476000,613000,1230000,98269000,21,0.3127,49,4045,1577,1241,3164,126,467
2878281915.0,CA,ALBANY CITY UNIFIED,94601.0,10300,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,., , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,1,1,1,1,1,0,0,0,1,0,0,0,0,0, ,0,1,1,1, ,.,.,.,.,3, , , ,2,2,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0, ,1,1,2,2,2,2,2,2,2,3,2,., ,"Fruit, Vegetables",Baked goods,Fruits,Vegetables,Noodles, , ,"Fruits, Vegetables, Noodles",1,7,7,7,7,7,7,7,.,7,7,., ,390000,390000,5,5,5 %,5,5,5,19500,19500,1, ,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0, , , , , , ,0.0,1,601860.0,6001,613,37.884356,-122.298707,1,0,3195,4,752000,322000,127000,303000,507000,316000,55926000,21,0.22973,14,1183,648,172,1387,11,388
2627141679.0,CA,ALISAL UNION,93905.0,What I D Number?,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,., , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,1,1,1,1,0,1,1,0,1,1,0,1,0,1, ,0,1,0,0,K To 6Th,11,1,11,1,6, , , ,3,3,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0, ,1,1,1,2,1,1,2,1,1,1,1,2, ,"Fruit, Vegetables, Milk, Meat/Poultry, Eggs, Beans/Seeds/Nuts, Grain/Flour, Baked goods, Herbs", ,Chicken,Produce, , , ,"Chicken, Produce",1,1,1,3,2,2,7,2,5,5,6,7, ,2097210,2097210,50,50,50 %,50,.,.,1048605,.,1, ,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0, , , ,.,lat, ,0.0,.,601950.0,6053,620,36.677012,-121.619068,1,0,8304,11,4184000,1156000,782000,2246000,35000,4210000,77163000,12,0.61549,9,141,8113,40,188,14,49
2600878626.0,CA,ALLENSWORTH ELEMENTARY,93219.0,54-71795,4.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,., , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , ,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,.,.,., ,.,.,.,.,., , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,.,.,.,.,.,.,.,.,.,.,., , , , , , , , , ,.,.,.,.,.,.,.,.,.,.,.,., ,.,.,.,,,.,.,.,.,.,., ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , , ,.,lat, ,0.0,.,601980.0,6107,621,35.854606,-119.391134,1,0,.,.,95000,26000,18000,51000,0,74000,1546000,42,.,0,0,81,0,0,0,0
2627253295.0,CA,ALPAUGH UNIFIED,93201.0,54 71803,3.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,., , , ,2,1,0,0,0,1,0,1,1,0,0,0,0,0,0, ,Next Year.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,.,.,., ,.,.,.,.,., , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,.,.,.,.,.,.,.,.,.,.,., , , , , , , , , ,.,.,.,.,.,.,.,.,.,.,.,., ,.,.,.,,,.,.,.,.,.,., ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , , ,.,lat, ,0.0,.,602010.0,6107,621,35.88568,-119.485239,1,0,.,.,217000,64000,31000,122000,16000,208000,3805000,42,.,3,16,364,8,139,2,20
2623842920.0,CA,ALPINE UNION ELEMENTARY,91901.0, ,3.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,., , , ,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0, ,2013-14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,.,.,., ,.,.,.,.,., , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,.,.,.,.,.,.,.,.,.,.,., , , , , , , , , ,.,.,.,.,.,.,.,.,.,.,.,., ,.,.,.,,,.,.,.,.,.,., ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , , ,.,lat, ,0.0,.,602100.0,6073,650,32.836669,-116.774957,1,0,694,4,574000,264000,62000,248000,370000,215000,17781000,21,0.23343,77,40,376,14,1425,3,55
2566349801.0,CA,ALTA LOMA ELEMENTARY,91701.0,02351-Sn-36-Psd,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,., , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,1,0,0,1,0,0,0,0,0,0,0,0,0,0, ,0,1,0,0, ,4,4,4,4,6, , , ,1,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0, ,1,1,1,4,3,3,3,3,3,1,4,4, ,"Fruit, Vegetables, Milk, Baked goods","Meat/Poultry, Eggs, Seafood, Beans/Seeds/Nuts, Grain/Flour",Muffins & Cookies,California Grown Fruits And Vegetables When Available,Organic Oranges, , ,"Muffins & Cookies, California Grown Fruits And Vegetables When Available, Organic Oranges",3,3,1,7,7,7,7,7,7,4,7,7, ,704000,704000,20,20,20 %,20,7,7,140800,49280,1, ,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0, , , ,.,lat, ,0.0,.,602160.0,6071,631,34.121568,-117.60048,1,0,6264,10,1622000,639000,237000,746000,863000,865000,48981000,21,0.24681,31,414,2416,527,2775,48,53
2624302187.0,CA,ALTA VISTA ELEMENTARY,93257.0, ,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,., , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,1,1,0,0,0,0,0,0,1,0,0,0,0,0, ,1,1,1,0, ,.,.,.,.,3, , , ,2,3,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0, ,1,1,1,4,4,4,4,4,4,1,4,4, ,"Fruit, Vegetables, Milk, Baked goods", ,Broccoli,Carrots,Romaine,"Lettuce, Shredded", ,"Broccoli, Carrots, Romaine, Lettuce, Shredded",2,3,1,7,6,7,7,6,6,4,7,7, ,1,1,40,40,40 %,40,10,10,0.4,0.1,1, ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,.,lat, ,0.0,.,602220.0,6107,623,36.05774,-118.966696,1,0,.,.,441000,61000,26000,354000,3000,331000,5046000,23,.,1,12,390,0,92,15,6
